ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
20.0,1.995262314968889,2.2387211385683514,812973.32461249,-0.09729612421261465,0.21248576675135497,2.22633080084254,skewnorm
20.0,2.2387211385683514,2.5118864315095926,941318.9076450171,-0.05219377095505247,0.08679519276306177,,moyal
20.0,2.5118864315095926,2.8183829312644666,1096473.6888396025,-0.05890720747618361,0.08516687838754292,,moyal
20.0,2.8183829312644666,3.1622776601683955,1241894.7020380276,-0.06367922821353977,0.0851044489142674,,moyal
20.0,3.1622776601683955,3.548133892335775,1450408.449482589,-0.06715706954503667,0.0879916052993274,,moyal
20.0,3.548133892335775,3.9810717055349936,1612742.4996036913,-0.07367369198512393,0.0864497990388291,,moyal
20.0,3.9810717055349936,4.466835921509653,1839377.097642343,-0.07195410835433547,0.08570870881582907,,moyal
20.0,4.466835921509653,5.01187233627275,2058622.4072706471,-0.075951669782679,0.08655028837912784,,moyal
20.0,5.01187233627275,5.623413251903525,2303112.156895734,-0.0760921325784536,0.08592487376038183,,moyal
20.0,5.623413251903525,6.309573444801969,2548833.7467437712,-0.08256632874604995,0.08345680746874878,,moyal
20.0,6.309573444801969,7.079457843841417,2883309.860636507,-0.08070665506792003,0.08427011593140567,,moyal
20.0,7.079457843841417,7.943282347242862,3208380.0851690844,-0.08199171416905955,0.08590174933928044,,moyal
20.0,7.943282347242862,8.912509381337514,3591551.0945310392,-0.08638195053811715,0.08420171693362138,,moyal
20.0,8.912509381337514,10.000000000000062,3939130.654895989,-0.08841422422505404,0.08632792026653485,,moyal
20.0,10.000000000000062,11.220184543019698,4352934.260267412,-0.09290365099909181,0.08352403867962717,,moyal
20.0,11.220184543019698,12.589254117941753,4887985.567501992,-0.09254427097596662,0.08484697682268261,,moyal
20.0,12.589254117941753,14.125375446227642,5447091.143778558,-0.09295003555922465,0.14763568012062744,1.0737795987601668,skewnorm
20.0,14.125375446227642,15.84893192461124,5677412.664201501,-0.09290218051004764,0.08136880271602659,,moyal
20.0,15.84893192461124,17.78279410038934,6512028.00237236,-0.08020119932707526,0.1358437336008198,0.8421419470915161,skewnorm
20.0,17.78279410038934,19.952623149688932,7017203.743797155,-0.09035292834629519,0.07796286849699358,,moyal
20.0,19.952623149688932,22.38721138568356,7712229.113656311,-0.09164395593766121,0.07852859603575452,,moyal
20.0,22.38721138568356,25.118864315095976,8463281.967546595,-0.08867744435263589,0.13317475627677272,0.9776099448776515,skewnorm
20.0,25.118864315095976,28.183829312644722,9078393.338488225,-0.07355942418706525,0.12596941608994391,0.7894731725921578,skewnorm
